bbox, 1658.8348, 541.5902, -1540.0000, 1270.0000, 700.0000, 1050.0000
cut, 1.8946, 1.6714, -1.1053, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8916, 1.6714, -1.1088, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8887, 1.6714, -1.1123, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8856, 1.6714, -1.1158, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8826, 1.6714, -1.1192, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8796, 1.6714, -1.1226, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8765, 1.6714, -1.1260, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8734, 1.6714, -1.1294, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8703, 1.6714, -1.1328, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8672, 1.6714, -1.1361, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8640, 1.6714, -1.1395, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8609, 1.6714, -1.1427, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8577, 1.6714, -1.1460, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8545, 1.6714, -1.1493, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8512, 1.6714, -1.1525, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8480, 1.6714, -1.1557, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8447, 1.6714, -1.1589, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8415, 1.6714, -1.1621, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8382, 1.6714, -1.1652, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8348, 1.6714, -1.1683, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8315, 1.6714, -1.1714, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8282, 1.6714, -1.1745, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8248, 1.6714, -1.1776, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8214, 1.6714, -1.1806, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8180, 1.6714, -1.1836, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8145, 1.6714, -1.1866, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8111, 1.6714, -1.1895, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8076, 1.6714, -1.1925, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8041, 1.6714, -1.1954, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8006, 1.6714, -1.1983, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7971, 1.6714, -1.2012, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7935, 1.6714, -1.2040, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7900, 1.6714, -1.2069, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7864, 1.6714, -1.2097, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7828, 1.6714, -1.2125, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7792, 1.6714, -1.2152, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7755, 1.6714, -1.2180, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7719, 1.6714, -1.2207, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7682, 1.6714, -1.2234, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7645, 1.6714, -1.2261, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7608, 1.6714, -1.2287, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.7570, 1.6714, -1.2314, 0.000000, 1.000000, 0.000000, 0.000000
