bbox, 1535.0032, 600.0027, -1040.0000, 1400.0001, 400.0019, 550.0000
cut, 2.3737, 0.7945, -0.5013, 0.002283, -0.018256, 0.997210, -0.072342
cut, 2.3686, 0.7945, -0.5004, 0.002331, -0.017615, 0.997217, -0.072410
cut, 2.3635, 0.7945, -0.4996, 0.002379, -0.016973, 0.997223, -0.072475
cut, 2.3585, 0.7945, -0.4988, 0.002427, -0.016329, 0.997229, -0.072537
cut, 2.3534, 0.7944, -0.4980, 0.002475, -0.015684, 0.997235, -0.072595
cut, 2.3483, 0.7944, -0.4973, 0.002523, -0.015038, 0.997241, -0.072649
cut, 2.3433, 0.7944, -0.4966, 0.002571, -0.014390, 0.997247, -0.072700
cut, 2.3382, 0.7944, -0.4959, 0.002619, -0.013740, 0.997252, -0.072748
cut, 2.3331, 0.7944, -0.4953, 0.002667, -0.013089, 0.997258, -0.072793
cut, 2.3280, 0.7944, -0.4947, 0.002715, -0.012437, 0.997263, -0.072835
cut, 2.3229, 0.7944, -0.4941, 0.002764, -0.011783, 0.997268, -0.072874
cut, 2.3178, 0.7943, -0.4935, 0.002812, -0.011127, 0.997272, -0.072910
cut, 2.3127, 0.7943, -0.4930, 0.002861, -0.010469, 0.997277, -0.072943
cut, 2.3076, 0.7943, -0.4925, 0.002909, -0.009809, 0.997281, -0.072974
cut, 2.3025, 0.7943, -0.4921, 0.002958, -0.009148, 0.997285, -0.073002
cut, 2.2974, 0.7943, -0.4917, 0.003007, -0.008484, 0.997289, -0.073028
cut, 2.2922, 0.7943, -0.4913, 0.003056, -0.007819, 0.997293, -0.073051
cut, 2.2871, 0.7943, -0.4909, 0.003105, -0.007151, 0.997296, -0.073072
cut, 2.2820, 0.7943, -0.4906, 0.003154, -0.006482, 0.997299, -0.073091
cut, 2.2769, 0.7943, -0.4903, 0.003203, -0.005810, 0.997302, -0.073108
cut, 2.2717, 0.7943, -0.4900, 0.003253, -0.005136, 0.997304, -0.073122
cut, 2.2666, 0.7943, -0.4898, 0.003302, -0.004460, 0.997307, -0.073135
cut, 2.2614, 0.7943, -0.4896, 0.003352, -0.003781, 0.997308, -0.073146
cut, 2.2563, 0.7942, -0.4895, 0.003402, -0.003101, 0.997310, -0.073155
cut, 2.2511, 0.7942, -0.4893, 0.003452, -0.002417, 0.997311, -0.073163
cut, 2.2460, 0.7942, -0.4893, 0.003503, -0.001731, 0.997312, -0.073169
cut, 2.2408, 0.7942, -0.4892, 0.003553, -0.001043, 0.997312, -0.073174
cut, 2.2357, 0.7942, -0.4892, 0.003604, -0.000352, 0.997312, -0.073177
cut, 2.2305, 0.7942, -0.4892, 0.003655, 0.000340, 0.997312, -0.073179
cut, 2.2253, 0.7942, -0.4892, 0.003705, 0.001029, 0.997311, -0.073180
cut, 2.2202, 0.7942, -0.4893, 0.003756, 0.001715, 0.997310, -0.073179
cut, 2.2150, 0.7942, -0.4894, 0.003806, 0.002399, 0.997309, -0.073177
cut, 2.2099, 0.7943, -0.4896, 0.003856, 0.003081, 0.997307, -0.073173
cut, 2.2047, 0.7943, -0.4898, 0.003906, 0.003760, 0.997305, -0.073167
cut, 2.1996, 0.7943, -0.4900, 0.003955, 0.004437, 0.997303, -0.073160
cut, 2.1945, 0.7943, -0.4902, 0.004005, 0.005112, 0.997300, -0.073150
cut, 2.1893, 0.7943, -0.4905, 0.004054, 0.005784, 0.997297, -0.073139
cut, 2.1842, 0.7943, -0.4908, 0.004103, 0.006454, 0.997293, -0.073125
cut, 2.1791, 0.7943, -0.4912, 0.004153, 0.007123, 0.997290, -0.073110
cut, 2.1740, 0.7943, -0.4916, 0.004201, 0.007789, 0.997286, -0.073092
cut, 2.1688, 0.7943, -0.4920, 0.004250, 0.008453, 0.997282, -0.073072
cut, 2.1637, 0.7943, -0.4924, 0.004299, 0.009115, 0.997277, -0.073049
cut, 2.1586, 0.7943, -0.4929, 0.004348, 0.009776, 0.997273, -0.073024
cut, 2.1535, 0.7943, -0.4934, 0.004396, 0.010434, 0.997268, -0.072996
cut, 2.1484, 0.7944, -0.4939, 0.004444, 0.011091, 0.997263, -0.072965
cut, 2.1433, 0.7944, -0.4945, 0.004493, 0.011746, 0.997258, -0.072932
cut, 2.1382, 0.7944, -0.4951, 0.004541, 0.012399, 0.997252, -0.072895
cut, 2.1331, 0.7944, -0.4957, 0.004589, 0.013051, 0.997247, -0.072856
cut, 2.1280, 0.7944, -0.4964, 0.004637, 0.013701, 0.997241, -0.072813
cut, 2.1230, 0.7944, -0.4971, 0.004685, 0.014350, 0.997235, -0.072767
cut, 2.1179, 0.7944, -0.4978, 0.004733, 0.014997, 0.997229, -0.072718
cut, 2.1128, 0.7945, -0.4986, 0.004780, 0.015643, 0.997222, -0.072666
cut, 2.1078, 0.7945, -0.4994, 0.004828, 0.016288, 0.997216, -0.072610
cut, 2.1027, 0.7945, -0.5002, 0.004876, 0.016931, 0.997209, -0.072551
cut, 2.0976, 0.7945, -0.5010, 0.004924, 0.017573, 0.997202, -0.072487
cut, 2.0926, 0.7945, -0.5019, 0.004971, 0.018214, 0.997195, -0.072421
cut, 2.0876, 0.7945, -0.5028, 0.005019, 0.018853, 0.997188, -0.072350
cut, 2.0825, 0.7946, -0.5038, 0.005067, 0.019492, 0.997181, -0.072275
cut, 2.0775, 0.7946, -0.5047, 0.005114, 0.020129, 0.997174, -0.072196
cut, 2.0725, 0.7946, -0.5057, 0.005162, 0.020766, 0.997167, -0.072114
cut, 2.0674, 0.7946, -0.5067, 0.005210, 0.021401, 0.997159, -0.072026
cut, 2.0624, 0.7946, -0.5078, 0.005257, 0.022036, 0.997152, -0.071935
cut, 2.0574, 0.7947, -0.5089, 0.005305, 0.022670, 0.997144, -0.071839
cut, 2.0524, 0.7947, -0.5100, 0.005353, 0.023302, 0.997137, -0.071739
cut, 2.0474, 0.7947, -0.5111, 0.005401, 0.023935, 0.997129, -0.071634
cut, 2.0424, 0.7947, -0.5123, 0.005449, 0.024566, 0.997121, -0.071524
cut, 2.0375, 0.7947, -0.5135, 0.005497, 0.025197, 0.997114, -0.071410
cut, 2.0325, 0.7947, -0.5147, 0.005545, 0.025827, 0.997106, -0.071290
cut, 2.0275, 0.7948, -0.5159, 0.005593, 0.026457, 0.997098, -0.071166
cut, 2.0226, 0.7948, -0.5172, 0.005641, 0.027086, 0.997090, -0.071037
cut, 2.0176, 0.7948, -0.5185, 0.005689, 0.027714, 0.997082, -0.070902
cut, 2.0127, 0.7948, -0.5198, 0.005738, 0.028342, 0.997074, -0.070762
cut, 2.0077, 0.7948, -0.5212, 0.005786, 0.028970, 0.997066, -0.070617
cut, 2.0028, 0.7949, -0.5225, 0.005835, 0.029598, 0.997058, -0.070467
cut, 1.9979, 0.7949, -0.5239, 0.005884, 0.030225, 0.997050, -0.070311
cut, 1.9930, 0.7949, -0.5254, 0.005933, 0.030851, 0.997042, -0.070149
cut, 1.9881, 0.7949, -0.5268, 0.005982, 0.031478, 0.997034, -0.069981
cut, 1.9832, 0.7949, -0.5283, 0.006031, 0.032104, 0.997025, -0.069808
cut, 1.9783, 0.7949, -0.5298, 0.006081, 0.032731, 0.997017, -0.069629
cut, 1.9734, 0.7950, -0.5314, 0.006130, 0.033357, 0.997009, -0.069444
cut, 1.9685, 0.7950, -0.5329, 0.006180, 0.033983, 0.997001, -0.069252
cut, 1.9636, 0.7950, -0.5345, 0.006230, 0.034609, 0.996993, -0.069055
cut, 1.9588, 0.7950, -0.5361, 0.006280, 0.035235, 0.996985, -0.068851
cut, 1.9539, 0.7950, -0.5377, 0.006331, 0.035861, 0.996977, -0.068641
cut, 1.9491, 0.7950, -0.5394, 0.006382, 0.036487, 0.996968, -0.068424
cut, 1.9442, 0.7951, -0.5411, 0.006432, 0.037114, 0.996960, -0.068201
cut, 1.9394, 0.7951, -0.5428, 0.006484, 0.037740, 0.996952, -0.067971
cut, 1.9346, 0.7951, -0.5445, 0.006535, 0.038367, 0.996944, -0.067735
cut, 1.9298, 0.7951, -0.5463, 0.006587, 0.038994, 0.996936, -0.067491
cut, 1.9250, 0.7951, -0.5480, 0.006639, 0.039622, 0.996928, -0.067241
cut, 1.9202, 0.7951, -0.5498, 0.006691, 0.040249, 0.996919, -0.066984
cut, 1.9154, 0.7951, -0.5517, 0.006744, 0.040877, 0.996911, -0.066719
cut, 1.9107, 0.7951, -0.5535, 0.006797, 0.041506, 0.996903, -0.066448
cut, 1.9059, 0.7951, -0.5554, 0.006850, 0.042135, 0.996895, -0.066169
cut, 1.9011, 0.7952, -0.5573, 0.006904, 0.042764, 0.996887, -0.065882
cut, 1.8964, 0.7952, -0.5592, 0.006958, 0.043394, 0.996878, -0.065589
cut, 1.8917, 0.7952, -0.5611, 0.007012, 0.044025, 0.996870, -0.065287
cut, 1.8869, 0.7952, -0.5631, 0.007067, 0.044656, 0.996862, -0.064978
cut, 1.8822, 0.7952, -0.5650, 0.007122, 0.045287, 0.996854, -0.064662
cut, 1.8775, 0.7952, -0.5670, 0.007175, 0.045895, 0.996846, -0.064350
cut, 1.8729, 0.7952, -0.5690, 0.007223, 0.046430, 0.996839, -0.064067
cut, 1.8682, 0.7952, -0.5711, 0.007264, 0.046896, 0.996833, -0.063813
cut, 1.8637, 0.7952, -0.5731, 0.007300, 0.047294, 0.996828, -0.063587
cut, 1.8591, 0.7952, -0.5751, 0.007331, 0.047629, 0.996825, -0.063386
cut, 1.8546, 0.7952, -0.5771, 0.007357, 0.047904, 0.996823, -0.063210
cut, 1.8501, 0.7952, -0.5792, 0.007378, 0.048121, 0.996822, -0.063057
cut, 1.8456, 0.7952, -0.5813, 0.007395, 0.048284, 0.996822, -0.062926
cut, 1.8411, 0.7952, -0.5833, 0.007407, 0.048397, 0.996823, -0.062816
cut, 1.8367, 0.7952, -0.5854, 0.007416, 0.048462, 0.996826, -0.062725
cut, 1.8323, 0.7952, -0.5875, 0.007421, 0.048482, 0.996830, -0.062651
cut, 1.8279, 0.7952, -0.5896, 0.007422, 0.048462, 0.996834, -0.062594
cut, 1.8236, 0.7952, -0.5917, 0.007421, 0.048405, 0.996840, -0.062552
cut, 1.8193, 0.7952, -0.5939, 0.007416, 0.048312, 0.996846, -0.062524
cut, 1.8149, 0.7952, -0.5960, 0.007409, 0.048188, 0.996853, -0.062508
cut, 1.8107, 0.7952, -0.5982, 0.007400, 0.048037, 0.996861, -0.062503
cut, 1.8064, 0.7952, -0.6004, 0.007389, 0.047860, 0.996869, -0.062508
cut, 1.8021, 0.7952, -0.6026, 0.007376, 0.047662, 0.996878, -0.062521
cut, 1.7979, 0.7952, -0.6048, 0.007361, 0.047446, 0.996887, -0.062541
cut, 1.7936, 0.7952, -0.6070, 0.007346, 0.047214, 0.996896, -0.062566
cut, 1.7894, 0.7952, -0.6092, 0.007329, 0.046971, 0.996906, -0.062596
cut, 1.7852, 0.7952, -0.6115, 0.007312, 0.046719, 0.996916, -0.062628
cut, 1.7810, 0.7952, -0.6138, 0.007294, 0.046462, 0.996926, -0.062662
cut, 1.7768, 0.7952, -0.6160, 0.007276, 0.046202, 0.996936, -0.062696
cut, 1.7726, 0.7952, -0.6183, 0.007259, 0.045944, 0.996946, -0.062729
cut, 1.7685, 0.7951, -0.6207, 0.007241, 0.045690, 0.996956, -0.062759
cut, 1.7643, 0.7951, -0.6230, 0.007225, 0.045444, 0.996966, -0.062785
cut, 1.7601, 0.7951, -0.6254, 0.007209, 0.045208, 0.996975, -0.062806
cut, 1.7560, 0.7951, -0.6278, 0.007194, 0.044987, 0.996984, -0.062820
cut, 1.7518, 0.7951, -0.6302, 0.007181, 0.044783, 0.996993, -0.062826
