bbox, 1876.8348, 541.5902, -1540.0000, 1270.0000, 700.0000, 1050.0000
cut, 2.4516, 1.0344, -1.3049, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4477, 1.0344, -1.3072, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4437, 1.0344, -1.3096, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4397, 1.0344, -1.3119, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4357, 1.0344, -1.3142, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4316, 1.0344, -1.3165, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4275, 1.0344, -1.3187, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4235, 1.0344, -1.3210, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4194, 1.0344, -1.3232, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4152, 1.0344, -1.3254, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4111, 1.0344, -1.3275, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4069, 1.0344, -1.3297, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4028, 1.0344, -1.3318, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.3986, 1.0344, -1.3339, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.3944, 1.0344, -1.3360, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.3901, 1.0344, -1.3380, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.3859, 1.0344, -1.3401, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.3816, 1.0344, -1.3421, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.3773, 1.0344, -1.3441, 0.000000, 1.000000, 0.000000, 0.000000
