bbox, 209.2779, 7424.8696, -3101.8853, 1737.4181, 725.7474, 1045.6676
cut, 0.7808, 2.2745, -0.7216, 0.225994, -0.570296, 0.734194, -0.290943
cut, 0.7760, 2.2733, -0.7216, 0.225004, -0.570688, 0.734698, -0.289668
cut, 0.7711, 2.2720, -0.7216, 0.224006, -0.571080, 0.735203, -0.288383
cut, 0.7663, 2.2708, -0.7216, 0.223001, -0.571473, 0.735709, -0.287090
cut, 0.7614, 2.2696, -0.7216, 0.221989, -0.571867, 0.736216, -0.285787
cut, 0.7566, 2.2683, -0.7216, 0.220970, -0.572262, 0.736724, -0.284475
cut, 0.7517, 2.2671, -0.7216, 0.219943, -0.572657, 0.737233, -0.283153
cut, 0.7469, 2.2659, -0.7216, 0.218909, -0.573054, 0.737743, -0.281821
cut, 0.7421, 2.2646, -0.7215, 0.217868, -0.573450, 0.738254, -0.280481
cut, 0.7372, 2.2634, -0.7215, 0.216819, -0.573848, 0.738766, -0.279130
cut, 0.7324, 2.2622, -0.7215, 0.215762, -0.574246, 0.739278, -0.277770
cut, 0.7275, 2.2609, -0.7215, 0.214698, -0.574645, 0.739792, -0.276400
cut, 0.7227, 2.2597, -0.7215, 0.213626, -0.575044, 0.740306, -0.275020
cut, 0.7178, 2.2584, -0.7215, 0.212546, -0.575444, 0.740820, -0.273630
cut, 0.7130, 2.2572, -0.7215, 0.211459, -0.575844, 0.741336, -0.272230
cut, 0.7081, 2.2560, -0.7215, 0.210364, -0.576245, 0.741852, -0.270821
cut, 0.7033, 2.2547, -0.7215, 0.209261, -0.576647, 0.742369, -0.269401
cut, 0.6985, 2.2535, -0.7215, 0.208151, -0.577048, 0.742886, -0.267971
cut, 0.6936, 2.2523, -0.7215, 0.207032, -0.577451, 0.743404, -0.266531
cut, 0.6888, 2.2510, -0.7215, 0.205905, -0.577853, 0.743923, -0.265081
cut, 0.6839, 2.2498, -0.7215, 0.204771, -0.578256, 0.744441, -0.263620
cut, 0.6791, 2.2485, -0.7214, 0.203628, -0.578660, 0.744961, -0.262149
cut, 0.6742, 2.2473, -0.7214, 0.202477, -0.579063, 0.745480, -0.260667
cut, 0.6694, 2.2461, -0.7214, 0.201318, -0.579467, 0.746000, -0.259175
cut, 0.6645, 2.2448, -0.7214, 0.200151, -0.579872, 0.746521, -0.257673
cut, 0.6597, 2.2436, -0.7214, 0.198976, -0.580276, 0.747041, -0.256160
cut, 0.6549, 2.2424, -0.7214, 0.197792, -0.580680, 0.747562, -0.254636
cut, 0.6500, 2.2411, -0.7214, 0.196600, -0.581085, 0.748083, -0.253101
cut, 0.6452, 2.2399, -0.7214, 0.195400, -0.581490, 0.748604, -0.251556
cut, 0.6403, 2.2386, -0.7214, 0.194192, -0.581895, 0.749125, -0.250000
cut, 0.6355, 2.2374, -0.7214, 0.192974, -0.582299, 0.749646, -0.248433
cut, 0.6306, 2.2362, -0.7214, 0.191749, -0.582704, 0.750167, -0.246855
cut, 0.6258, 2.2349, -0.7214, 0.190515, -0.583109, 0.750688, -0.245267
cut, 0.6209, 2.2337, -0.7214, 0.189272, -0.583513, 0.751209, -0.243667
cut, 0.6161, 2.2325, -0.7214, 0.188021, -0.583918, 0.751730, -0.242056
cut, 0.6113, 2.2312, -0.7213, 0.186761, -0.584322, 0.752250, -0.240434
cut, 0.6064, 2.2300, -0.7213, 0.185492, -0.584726, 0.752770, -0.238801
cut, 0.6016, 2.2288, -0.7213, 0.184215, -0.585129, 0.753290, -0.237157
cut, 0.5967, 2.2275, -0.7213, 0.182929, -0.585533, 0.753809, -0.235501
cut, 0.5919, 2.2263, -0.7213, 0.181634, -0.585936, 0.754328, -0.233834
cut, 0.5870, 2.2250, -0.7213, 0.180331, -0.586338, 0.754846, -0.232156
cut, 0.5822, 2.2238, -0.7213, 0.179018, -0.586740, 0.755363, -0.230466
cut, 0.5773, 2.2226, -0.7213, 0.177697, -0.587142, 0.755880, -0.228765
cut, 0.5725, 2.2213, -0.7213, 0.176367, -0.587543, 0.756396, -0.227053
cut, 0.5677, 2.2201, -0.7213, 0.175028, -0.587943, 0.756912, -0.225329
cut, 0.5628, 2.2189, -0.7213, 0.173680, -0.588342, 0.757426, -0.223594
cut, 0.5580, 2.2176, -0.7213, 0.172323, -0.588741, 0.757940, -0.221847
cut, 0.5531, 2.2164, -0.7213, 0.170957, -0.589139, 0.758452, -0.220089
cut, 0.5483, 2.2151, -0.7213, 0.169582, -0.589537, 0.758963, -0.218318
cut, 0.5434, 2.2139, -0.7212, 0.168198, -0.589933, 0.759474, -0.216537
cut, 0.5386, 2.2127, -0.7212, 0.166805, -0.590328, 0.759983, -0.214744
cut, 0.5337, 2.2114, -0.7212, 0.165403, -0.590723, 0.760490, -0.212939
cut, 0.5289, 2.2102, -0.7212, 0.163992, -0.591116, 0.760997, -0.211122
cut, 0.5241, 2.2090, -0.7212, 0.162572, -0.591508, 0.761502, -0.209293
cut, 0.5192, 2.2077, -0.7212, 0.161143, -0.591899, 0.762005, -0.207453
cut, 0.5144, 2.2065, -0.7212, 0.159704, -0.592289, 0.762507, -0.205602
cut, 0.5095, 2.2053, -0.7212, 0.158257, -0.592677, 0.763007, -0.203738
cut, 0.5047, 2.2040, -0.7212, 0.156800, -0.593064, 0.763505, -0.201863
cut, 0.4998, 2.2028, -0.7212, 0.155334, -0.593450, 0.764001, -0.199976
cut, 0.4950, 2.2015, -0.7212, 0.153859, -0.593834, 0.764496, -0.198077
cut, 0.4901, 2.2003, -0.7212, 0.152375, -0.594217, 0.764988, -0.196166
cut, 0.4853, 2.1991, -0.7212, 0.150882, -0.594598, 0.765479, -0.194244
cut, 0.4805, 2.1978, -0.7212, 0.149379, -0.594977, 0.765967, -0.192309
cut, 0.4756, 2.1966, -0.7211, 0.147868, -0.595354, 0.766453, -0.190363
cut, 0.4708, 2.1954, -0.7211, 0.146347, -0.595730, 0.766937, -0.188406
cut, 0.4659, 2.1941, -0.7211, 0.144817, -0.596104, 0.767418, -0.186436
cut, 0.4611, 2.1929, -0.7211, 0.143278, -0.596475, 0.767896, -0.184455
cut, 0.4562, 2.1916, -0.7211, 0.141730, -0.596845, 0.768372, -0.182462
cut, 0.4514, 2.1904, -0.7211, 0.140173, -0.597213, 0.768846, -0.180458
cut, 0.4465, 2.1892, -0.7211, 0.138607, -0.597578, 0.769316, -0.178441
cut, 0.4417, 2.1879, -0.7211, 0.137032, -0.597941, 0.769784, -0.176413
cut, 0.4369, 2.1867, -0.7211, 0.135447, -0.598302, 0.770248, -0.174374
cut, 0.4320, 2.1855, -0.7211, 0.133854, -0.598661, 0.770710, -0.172322
cut, 0.4272, 2.1842, -0.7211, 0.132252, -0.599017, 0.771168, -0.170260
cut, 0.4223, 2.1830, -0.7211, 0.130641, -0.599370, 0.771623, -0.168185
cut, 0.4175, 2.1818, -0.7211, 0.129020, -0.599721, 0.772075, -0.166100
cut, 0.4126, 2.1805, -0.7211, 0.127391, -0.600069, 0.772523, -0.164002
cut, 0.4078, 2.1793, -0.7210, 0.125754, -0.600415, 0.772968, -0.161894
cut, 0.4029, 2.1780, -0.7210, 0.124107, -0.600757, 0.773409, -0.159774
cut, 0.3981, 2.1768, -0.7210, 0.122451, -0.601097, 0.773846, -0.157643
cut, 0.3932, 2.1756, -0.7210, 0.120787, -0.601433, 0.774279, -0.155500
cut, 0.3884, 2.1743, -0.7210, 0.119114, -0.601767, 0.774709, -0.153347
cut, 0.3836, 2.1731, -0.7210, 0.117433, -0.602097, 0.775134, -0.151182
cut, 0.3787, 2.1719, -0.7210, 0.115743, -0.602424, 0.775555, -0.149006
cut, 0.3739, 2.1706, -0.7210, 0.114044, -0.602748, 0.775972, -0.146819
cut, 0.3690, 2.1694, -0.7210, 0.112337, -0.603069, 0.776385, -0.144621
cut, 0.3642, 2.1681, -0.7210, 0.110622, -0.603386, 0.776793, -0.142413
cut, 0.3593, 2.1669, -0.7210, 0.108898, -0.603699, 0.777196, -0.140194
cut, 0.3545, 2.1657, -0.7210, 0.107166, -0.604009, 0.777595, -0.137964
cut, 0.3496, 2.1644, -0.7210, 0.105425, -0.604315, 0.777989, -0.135724
cut, 0.3448, 2.1632, -0.7210, 0.103677, -0.604618, 0.778379, -0.133473
cut, 0.3400, 2.1620, -0.7209, 0.101920, -0.604916, 0.778763, -0.131211
cut, 0.3351, 2.1607, -0.7209, 0.100156, -0.605211, 0.779142, -0.128940
cut, 0.3303, 2.1595, -0.7209, 0.098384, -0.605502, 0.779517, -0.126658
cut, 0.3254, 2.1583, -0.7209, 0.096604, -0.605788, 0.779885, -0.124367
cut, 0.3206, 2.1570, -0.7209, 0.094816, -0.606071, 0.780249, -0.122065
cut, 0.3157, 2.1558, -0.7209, 0.093020, -0.606349, 0.780607, -0.119753
cut, 0.3109, 2.1545, -0.7209, 0.091217, -0.606623, 0.780960, -0.117432
