bbox, -467.7989, 1848.5463, -1670.8638, 1800.0001, 700.7219, 1200.0000
cut, 0.9655, 2.3445, -0.7695, 0.173244, -0.588471, 0.757592, -0.223032
cut, 0.9606, 2.3432, -0.7695, 0.172115, -0.588802, 0.758018, -0.221579
cut, 0.9558, 2.3420, -0.7695, 0.170981, -0.589133, 0.758443, -0.220119
cut, 0.9510, 2.3408, -0.7695, 0.169840, -0.589462, 0.758868, -0.218650
cut, 0.9461, 2.3395, -0.7695, 0.168693, -0.589792, 0.759292, -0.217174
cut, 0.9413, 2.3383, -0.7695, 0.167540, -0.590120, 0.759715, -0.215689
cut, 0.9364, 2.3371, -0.7695, 0.166381, -0.590448, 0.760137, -0.214197
cut, 0.9316, 2.3358, -0.7695, 0.165215, -0.590775, 0.760558, -0.212696
cut, 0.9267, 2.3346, -0.7695, 0.164043, -0.591102, 0.760978, -0.211187
cut, 0.9219, 2.3334, -0.7695, 0.162865, -0.591428, 0.761398, -0.209671
cut, 0.9170, 2.3321, -0.7694, 0.161681, -0.591752, 0.761816, -0.208146
cut, 0.9122, 2.3309, -0.7694, 0.160490, -0.592077, 0.762233, -0.206613
cut, 0.9074, 2.3296, -0.7694, 0.159293, -0.592400, 0.762649, -0.205072
cut, 0.9025, 2.3284, -0.7694, 0.158090, -0.592722, 0.763064, -0.203523
cut, 0.8977, 2.3272, -0.7694, 0.156880, -0.593043, 0.763478, -0.201966
cut, 0.8928, 2.3259, -0.7694, 0.155664, -0.593364, 0.763890, -0.200400
cut, 0.8880, 2.3247, -0.7694, 0.154442, -0.593683, 0.764301, -0.198827
cut, 0.8831, 2.3235, -0.7694, 0.153213, -0.594001, 0.764711, -0.197245
cut, 0.8783, 2.3222, -0.7694, 0.151979, -0.594318, 0.765119, -0.195656
cut, 0.8734, 2.3210, -0.7694, 0.150738, -0.594634, 0.765526, -0.194058
cut, 0.8686, 2.3197, -0.7694, 0.149490, -0.594949, 0.765931, -0.192452
cut, 0.8638, 2.3185, -0.7694, 0.148236, -0.595263, 0.766335, -0.190838
cut, 0.8589, 2.3173, -0.7694, 0.146976, -0.595575, 0.766737, -0.189216
cut, 0.8541, 2.3160, -0.7694, 0.145710, -0.595886, 0.767138, -0.187586
cut, 0.8492, 2.3148, -0.7693, 0.144438, -0.596196, 0.767536, -0.185948
cut, 0.8444, 2.3136, -0.7693, 0.143159, -0.596504, 0.767933, -0.184301
cut, 0.8395, 2.3123, -0.7693, 0.141874, -0.596811, 0.768328, -0.182647
cut, 0.8347, 2.3111, -0.7693, 0.140582, -0.597117, 0.768722, -0.180984
cut, 0.8298, 2.3099, -0.7693, 0.139285, -0.597421, 0.769113, -0.179314
cut, 0.8250, 2.3086, -0.7693, 0.137981, -0.597723, 0.769503, -0.177635
cut, 0.8202, 2.3074, -0.7693, 0.136671, -0.598024, 0.769890, -0.175948
cut, 0.8153, 2.3061, -0.7693, 0.135354, -0.598323, 0.770275, -0.174254
cut, 0.8105, 2.3049, -0.7693, 0.134032, -0.598621, 0.770659, -0.172551
cut, 0.8056, 2.3037, -0.7693, 0.132703, -0.598917, 0.771040, -0.170840
cut, 0.8008, 2.3024, -0.7693, 0.131368, -0.599211, 0.771418, -0.169122
cut, 0.7959, 2.3012, -0.7693, 0.130027, -0.599504, 0.771795, -0.167395
cut, 0.7911, 2.3000, -0.7693, 0.128680, -0.599794, 0.772169, -0.165661
cut, 0.7862, 2.2987, -0.7693, 0.127326, -0.600083, 0.772541, -0.163919
cut, 0.7814, 2.2975, -0.7692, 0.125967, -0.600370, 0.772910, -0.162168
cut, 0.7766, 2.2962, -0.7692, 0.124601, -0.600655, 0.773277, -0.160410
cut, 0.7717, 2.2950, -0.7692, 0.123230, -0.600938, 0.773641, -0.158645
cut, 0.7669, 2.2938, -0.7692, 0.121852, -0.601218, 0.774002, -0.156871
cut, 0.7620, 2.2925, -0.7692, 0.120468, -0.601497, 0.774361, -0.155090
cut, 0.7572, 2.2913, -0.7692, 0.119079, -0.601774, 0.774718, -0.153301
cut, 0.7523, 2.2901, -0.7692, 0.117683, -0.602048, 0.775071, -0.151504
cut, 0.7475, 2.2888, -0.7692, 0.116282, -0.602321, 0.775421, -0.149700
cut, 0.7426, 2.2876, -0.7692, 0.114875, -0.602591, 0.775769, -0.147888
cut, 0.7378, 2.2864, -0.7692, 0.113461, -0.602858, 0.776114, -0.146069
cut, 0.7330, 2.2851, -0.7692, 0.112042, -0.603124, 0.776455, -0.144242
cut, 0.7281, 2.2839, -0.7692, 0.110618, -0.603387, 0.776794, -0.142408
cut, 0.7233, 2.2826, -0.7692, 0.109187, -0.603647, 0.777129, -0.140566
