bbox, 1235.0032, -774.9954, -1090.0000, 1400.0001, 550.0000, 400.0019
cut, 1.5443, -0.5015, -0.5877, 0.000000, 0.992288, 0.123950, 0.000000
cut, 1.5493, -0.5015, -0.5877, 0.000000, 0.992127, 0.125235, 0.000000
cut, 1.5543, -0.5015, -0.5876, 0.000000, 0.991964, 0.126518, 0.000000
cut, 1.5593, -0.5015, -0.5876, 0.000000, 0.991800, 0.127799, 0.000000
cut, 1.5643, -0.5015, -0.5876, 0.000000, 0.991634, 0.129078, 0.000000
cut, 1.5693, -0.5015, -0.5876, 0.000000, 0.991467, 0.130355, 0.000000
cut, 1.5743, -0.5015, -0.5875, 0.000000, 0.991299, 0.131630, 0.000000
cut, 1.5793, -0.5015, -0.5875, 0.000000, 0.991129, 0.132904, 0.000000
cut, 1.5843, -0.5015, -0.5875, 0.000000, 0.990958, 0.134175, 0.000000
cut, 1.5893, -0.5015, -0.5875, 0.000000, 0.990785, 0.135444, 0.000000
cut, 1.5943, -0.5015, -0.5874, 0.000000, 0.990611, 0.136711, 0.000000
cut, 1.5993, -0.5015, -0.5874, 0.000000, 0.990436, 0.137976, 0.000000
cut, 1.6043, -0.5015, -0.5874, 0.000000, 0.990259, 0.139239, 0.000000
cut, 1.6093, -0.5015, -0.5874, 0.000000, 0.990081, 0.140500, 0.000000
cut, 1.6143, -0.5015, -0.5873, 0.000000, 0.989901, 0.141759, 0.000000
cut, 1.6193, -0.5015, -0.5873, 0.000000, 0.989720, 0.143016, 0.000000
cut, 1.6243, -0.5015, -0.5873, 0.000000, 0.989538, 0.144270, 0.000000
cut, 1.6293, -0.5015, -0.5873, 0.000000, 0.989355, 0.145523, 0.000000
cut, 1.6343, -0.5015, -0.5872, 0.000000, 0.989170, 0.146773, 0.000000
cut, 1.6393, -0.5015, -0.5872, 0.000000, 0.988984, 0.148021, 0.000000
cut, 1.6443, -0.5015, -0.5872, 0.000000, 0.988797, 0.149267, 0.000000
cut, 1.6493, -0.5015, -0.5872, 0.000000, 0.988608, 0.150511, 0.000000
cut, 1.6543, -0.5015, -0.5871, 0.000000, 0.988418, 0.151753, 0.000000
cut, 1.6593, -0.5015, -0.5871, 0.000000, 0.988227, 0.152993, 0.000000
cut, 1.6643, -0.5015, -0.5871, 0.000000, 0.988035, 0.154230, 0.000000
cut, 1.6693, -0.5015, -0.5871, 0.000000, 0.987841, 0.155465, 0.000000
cut, 1.6743, -0.5015, -0.5870, 0.000000, 0.987647, 0.156698, 0.000000
cut, 1.6793, -0.5015, -0.5870, 0.000000, 0.987451, 0.157928, 0.000000
cut, 1.6843, -0.5015, -0.5870, 0.000000, 0.987253, 0.159157, 0.000000
cut, 1.6893, -0.5015, -0.5870, 0.000000, 0.987055, 0.160383, 0.000000
cut, 1.6943, -0.5015, -0.5869, 0.000000, 0.986855, 0.161607, 0.000000
cut, 1.6993, -0.5015, -0.5869, 0.000000, 0.986654, 0.162828, 0.000000
cut, 1.7043, -0.5015, -0.5869, 0.000000, 0.986452, 0.164047, 0.000000
cut, 1.7093, -0.5015, -0.5869, 0.000000, 0.986249, 0.165264, 0.000000
cut, 1.7143, -0.5015, -0.5868, 0.000000, 0.986045, 0.166479, 0.000000
cut, 1.7193, -0.5015, -0.5868, 0.000000, 0.985840, 0.167691, 0.000000
cut, 1.7243, -0.5015, -0.5868, 0.000000, 0.985633, 0.168901, 0.000000
cut, 1.7293, -0.5015, -0.5868, 0.000000, 0.985425, 0.170109, 0.000000
cut, 1.7343, -0.5015, -0.5867, 0.000000, 0.985217, 0.171314, 0.000000
cut, 1.7393, -0.5015, -0.5867, 0.000000, 0.985007, 0.172517, 0.000000
cut, 1.7443, -0.5015, -0.5867, 0.000000, 0.984796, 0.173717, 0.000000
cut, 1.7493, -0.5015, -0.5867, 0.000000, 0.984583, 0.174915, 0.000000
cut, 1.7543, -0.5015, -0.5866, 0.000000, 0.984370, 0.176111, 0.000000
cut, 1.7593, -0.5015, -0.5866, 0.000000, 0.984156, 0.177304, 0.000000
cut, 1.7643, -0.5015, -0.5866, 0.000000, 0.983941, 0.178495, 0.000000
cut, 1.7693, -0.5015, -0.5866, 0.000000, 0.983724, 0.179684, 0.000000
cut, 1.7743, -0.5015, -0.5865, 0.000000, 0.983507, 0.180870, 0.000000
cut, 1.7793, -0.5015, -0.5865, 0.000000, 0.983289, 0.182053, 0.000000
cut, 1.7843, -0.5015, -0.5865, 0.000000, 0.983069, 0.183234, 0.000000
cut, 1.7893, -0.5015, -0.5865, 0.000000, 0.982849, 0.184413, 0.000000
cut, 1.7943, -0.5015, -0.5864, 0.000000, 0.982627, 0.185589, 0.000000
cut, 1.7993, -0.5015, -0.5864, 0.000000, 0.982405, 0.186763, 0.000000
cut, 1.8043, -0.5015, -0.5864, 0.000000, 0.982182, 0.187935, 0.000000
cut, 1.8093, -0.5015, -0.5864, 0.000000, 0.981957, 0.189103, 0.000000
cut, 1.8143, -0.5015, -0.5863, 0.000000, 0.981732, 0.190270, 0.000000
cut, 1.8193, -0.5015, -0.5863, 0.000000, 0.981506, 0.191434, 0.000000
cut, 1.8243, -0.5015, -0.5863, 0.000000, 0.981278, 0.192595, 0.000000
cut, 1.8293, -0.5015, -0.5863, 0.000000, 0.981050, 0.193754, 0.000000
cut, 1.8343, -0.5015, -0.5862, 0.000000, 0.980821, 0.194910, 0.000000
cut, 1.8393, -0.5015, -0.5862, 0.000000, 0.980591, 0.196064, 0.000000
cut, 1.8443, -0.5015, -0.5862, 0.000000, 0.980360, 0.197215, 0.000000
cut, 1.8493, -0.5015, -0.5862, 0.000000, 0.980128, 0.198364, 0.000000
cut, 1.8543, -0.5015, -0.5861, 0.000000, 0.979896, 0.199510, 0.000000
cut, 1.8593, -0.5015, -0.5861, 0.000000, 0.979662, 0.200654, 0.000000
cut, 1.8643, -0.5015, -0.5861, 0.000000, 0.979428, 0.201795, 0.000000
cut, 1.8693, -0.5015, -0.5861, 0.000000, 0.979193, 0.202933, 0.000000
cut, 1.8743, -0.5015, -0.5860, 0.000000, 0.978956, 0.204069, 0.000000
cut, 1.8793, -0.5015, -0.5860, 0.000000, 0.978719, 0.205203, 0.000000
cut, 1.8843, -0.5015, -0.5860, 0.000000, 0.978482, 0.206334, 0.000000
cut, 1.8893, -0.5015, -0.5860, 0.000000, 0.978243, 0.207462, 0.000000
cut, 1.8943, -0.5015, -0.5859, 0.000000, 0.978004, 0.208588, 0.000000
cut, 1.8993, -0.5015, -0.5859, 0.000000, 0.977764, 0.209711, 0.000000
cut, 1.9043, -0.5015, -0.5859, 0.000000, 0.977523, 0.210831, 0.000000
cut, 1.9093, -0.5015, -0.5859, 0.000000, 0.977281, 0.211949, 0.000000
cut, 1.9143, -0.5015, -0.5858, 0.000000, 0.977038, 0.213064, 0.000000
cut, 1.9193, -0.5015, -0.5858, 0.000000, 0.976795, 0.214177, 0.000000
cut, 1.9243, -0.5015, -0.5858, 0.000000, 0.976551, 0.215287, 0.000000
cut, 1.9293, -0.5015, -0.5858, 0.000000, 0.976306, 0.216395, 0.000000
cut, 1.9343, -0.5015, -0.5857, 0.000000, 0.976060, 0.217499, 0.000000
cut, 1.9393, -0.5015, -0.5857, 0.000000, 0.975814, 0.218602, 0.000000
cut, 1.9443, -0.5015, -0.5857, 0.000000, 0.975567, 0.219701, 0.000000
cut, 1.9493, -0.5015, -0.5857, 0.000000, 0.975319, 0.220798, 0.000000
cut, 1.9543, -0.5015, -0.5856, 0.000000, 0.975071, 0.221893, 0.000000
cut, 1.9593, -0.5015, -0.5856, 0.000000, 0.974822, 0.222985, 0.000000
cut, 1.9643, -0.5015, -0.5856, 0.000000, 0.974572, 0.224074, 0.000000
cut, 1.9693, -0.5015, -0.5856, 0.000000, 0.974322, 0.225160, 0.000000
cut, 1.9743, -0.5015, -0.5855, 0.000000, 0.974071, 0.226244, 0.000000
cut, 1.9793, -0.5015, -0.5855, 0.000000, 0.973819, 0.227325, 0.000000
cut, 1.9843, -0.5015, -0.5855, 0.000000, 0.973567, 0.228404, 0.000000
cut, 1.9893, -0.5015, -0.5855, 0.000000, 0.973313, 0.229480, 0.000000
cut, 1.9943, -0.5015, -0.5854, 0.000000, 0.973060, 0.230553, 0.000000
cut, 1.9993, -0.5015, -0.5854, 0.000000, 0.972806, 0.231623, 0.000000
cut, 2.0043, -0.5015, -0.5854, 0.000000, 0.972551, 0.232691, 0.000000
cut, 2.0093, -0.5015, -0.5854, 0.000000, 0.972295, 0.233757, 0.000000
cut, 2.0143, -0.5015, -0.5853, 0.000000, 0.972039, 0.234819, 0.000000
cut, 2.0193, -0.5015, -0.5853, 0.000000, 0.971782, 0.235879, 0.000000
cut, 2.0243, -0.5015, -0.5853, 0.000000, 0.971525, 0.236937, 0.000000
cut, 2.0293, -0.5015, -0.5853, 0.000000, 0.971267, 0.237991, 0.000000
cut, 2.0343, -0.5015, -0.5852, 0.000000, 0.971009, 0.239043, 0.000000
cut, 2.0393, -0.5015, -0.5852, 0.000000, 0.970750, 0.240093, 0.000000
cut, 2.0443, -0.5015, -0.5852, 0.000000, 0.970491, 0.241139, 0.000000
cut, 2.0493, -0.5015, -0.5852, 0.000000, 0.970231, 0.242183, 0.000000
cut, 2.0543, -0.5015, -0.5851, 0.000000, 0.969970, 0.243225, 0.000000
cut, 2.0593, -0.5015, -0.5851, 0.000000, 0.969709, 0.244263, 0.000000
cut, 2.0643, -0.5015, -0.5851, 0.000000, 0.969447, 0.245299, 0.000000
cut, 2.0693, -0.5015, -0.5851, 0.000000, 0.969185, 0.246333, 0.000000
cut, 2.0743, -0.5015, -0.5850, 0.000000, 0.968923, 0.247363, 0.000000
cut, 2.0793, -0.5015, -0.5850, 0.000000, 0.968660, 0.248391, 0.000000
cut, 2.0843, -0.5015, -0.5850, 0.000000, 0.968396, 0.249417, 0.000000
cut, 2.0893, -0.5015, -0.5850, 0.000000, 0.968132, 0.250439, 0.000000
cut, 2.0943, -0.5015, -0.5849, 0.000000, 0.967868, 0.251459, 0.000000
cut, 2.0993, -0.5015, -0.5849, 0.000000, 0.967603, 0.252477, 0.000000
cut, 2.1043, -0.5015, -0.5849, 0.000000, 0.967338, 0.253491, 0.000000
cut, 2.1093, -0.5015, -0.5849, 0.000000, 0.967072, 0.254503, 0.000000
cut, 2.1143, -0.5015, -0.5848, 0.000000, 0.966806, 0.255513, 0.000000
cut, 2.1193, -0.5015, -0.5848, 0.000000, 0.966539, 0.256519, 0.000000
cut, 2.1243, -0.5015, -0.5848, 0.000000, 0.966272, 0.257523, 0.000000
cut, 2.1293, -0.5015, -0.5847, 0.000000, 0.966005, 0.258525, 0.000000
cut, 2.1343, -0.5015, -0.5847, 0.000000, 0.965737, 0.259523, 0.000000
cut, 2.1393, -0.5015, -0.5847, 0.000000, 0.965469, 0.260519, 0.000000
cut, 2.1443, -0.5015, -0.5847, 0.000000, 0.965200, 0.261513, 0.000000
cut, 2.1493, -0.5015, -0.5846, 0.000000, 0.964931, 0.262503, 0.000000
cut, 2.1543, -0.5015, -0.5846, 0.000000, 0.964662, 0.263491, 0.000000
cut, 2.1593, -0.5015, -0.5846, 0.000000, 0.964392, 0.264477, 0.000000
cut, 2.1643, -0.5015, -0.5846, 0.000000, 0.964122, 0.265459, 0.000000
cut, 2.1693, -0.5015, -0.5845, 0.000000, 0.963852, 0.266439, 0.000000
cut, 2.1743, -0.5015, -0.5845, 0.000000, 0.963581, 0.267417, 0.000000
cut, 2.1793, -0.5015, -0.5845, 0.000000, 0.963310, 0.268391, 0.000000
cut, 2.1843, -0.5015, -0.5845, 0.000000, 0.963039, 0.269364, 0.000000
cut, 2.1893, -0.5015, -0.5844, 0.000000, 0.962767, 0.270333, 0.000000
cut, 2.1943, -0.5015, -0.5844, 0.000000, 0.962495, 0.271300, 0.000000
cut, 2.1993, -0.5015, -0.5844, 0.000000, 0.962223, 0.272264, 0.000000
cut, 2.2043, -0.5015, -0.5844, 0.000000, 0.961950, 0.273225, 0.000000
cut, 2.2093, -0.5015, -0.5843, 0.000000, 0.961677, 0.274184, 0.000000
cut, 2.2143, -0.5015, -0.5843, 0.000000, 0.961404, 0.275140, 0.000000
cut, 2.2193, -0.5015, -0.5843, 0.000000, 0.961131, 0.276094, 0.000000
cut, 2.2243, -0.5015, -0.5843, 0.000000, 0.960857, 0.277045, 0.000000
cut, 2.2293, -0.5015, -0.5842, 0.000000, 0.960583, 0.277993, 0.000000
cut, 2.2343, -0.5015, -0.5842, 0.000000, 0.960309, 0.278939, 0.000000
cut, 2.2393, -0.5015, -0.5842, 0.000000, 0.960034, 0.279882, 0.000000
cut, 2.2443, -0.5015, -0.5842, 0.000000, 0.959760, 0.280823, 0.000000
cut, 2.2493, -0.5015, -0.5841, 0.000000, 0.959485, 0.281760, 0.000000
cut, 2.2543, -0.5015, -0.5841, 0.000000, 0.959210, 0.282696, 0.000000
cut, 2.2593, -0.5015, -0.5841, 0.000000, 0.958934, 0.283628, 0.000000
cut, 2.2643, -0.5015, -0.5841, 0.000000, 0.958659, 0.284558, 0.000000
cut, 2.2693, -0.5015, -0.5840, 0.000000, 0.958383, 0.285485, 0.000000
cut, 2.2743, -0.5015, -0.5840, 0.000000, 0.958107, 0.286410, 0.000000
cut, 2.2793, -0.5015, -0.5840, 0.000000, 0.957831, 0.287332, 0.000000
cut, 2.2843, -0.5015, -0.5840, 0.000000, 0.957555, 0.288252, 0.000000
cut, 2.2893, -0.5015, -0.5839, 0.000000, 0.957278, 0.289169, 0.000000
cut, 2.2943, -0.5015, -0.5839, 0.000000, 0.957001, 0.290083, 0.000000
cut, 2.2993, -0.5015, -0.5839, 0.000000, 0.956725, 0.290995, 0.000000
cut, 2.3043, -0.5015, -0.5839, 0.000000, 0.956448, 0.291904, 0.000000
cut, 2.3093, -0.5015, -0.5838, 0.000000, 0.956170, 0.292811, 0.000000
cut, 2.3143, -0.5015, -0.5838, 0.000000, 0.955893, 0.293715, 0.000000
cut, 2.3193, -0.5015, -0.5838, 0.000000, 0.955616, 0.294616, 0.000000
cut, 2.3243, -0.5015, -0.5838, 0.000000, 0.955338, 0.295515, 0.000000
cut, 2.3293, -0.5015, -0.5837, 0.000000, 0.955060, 0.296411, 0.000000
cut, 2.3343, -0.5015, -0.5837, 0.000000, 0.954783, 0.297305, 0.000000
cut, 2.3393, -0.5015, -0.5837, 0.000000, 0.954505, 0.298196, 0.000000
cut, 2.3443, -0.5015, -0.5837, 0.000000, 0.954226, 0.299085, 0.000000
cut, 2.3493, -0.5015, -0.5836, 0.000000, 0.953948, 0.299971, 0.000000
cut, 2.3543, -0.5015, -0.5836, 0.000000, 0.953670, 0.300855, 0.000000
cut, 2.3593, -0.5015, -0.5836, 0.000000, 0.953392, 0.301735, 0.000000
