[rosmaster.master][INFO] 2021-04-16 10:47:49,622: +PUB [/initialpose] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,623: +PUB [/goal] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,623: +PUB [/move_base_simple/goal] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,624: -PUB [/goal] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,624: +PUB [/clicked_point] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,649: +SERVICE [/wire_cutting_wire_cutting_rviz/reload_shaders] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,650: +SERVICE [/wire_cutting_wire_cutting_rviz/load_config] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,651: +SERVICE [/wire_cutting_wire_cutting_rviz/save_config] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,690: +SUB [/tesseract_ros_examples/tesseract_published_environment] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:51,129: +SERVICE [/env_widget_0/modify_tesseract] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:51,130: +SERVICE [/env_widget_0/get_tesseract_changes] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:51,131: +SERVICE [/env_widget_0/get_tesseract_information] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:51,131: +SERVICE [/env_widget_0/save_scene_graph] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:51,207: +SERVICE [/env_widget_1/modify_tesseract] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:51,208: +SERVICE [/env_widget_1/get_tesseract_changes] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:51,208: +SERVICE [/env_widget_1/get_tesseract_information] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:51,208: +SERVICE [/env_widget_1/save_scene_graph] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
