bbox, -1199.9489, 1960.0000, -1838.0000, 2400.0000, 1200.0000, 1550.0000
cut, -0.8304, 2.5600, -0.5189, 0.027376, 0.992489, -0.119223, -0.001165
cut, -0.8312, 2.5600, -0.5239, 0.023462, 0.992515, -0.119847, -0.000680
cut, -0.8320, 2.5600, -0.5288, 0.019547, 0.992525, -0.120465, -0.000195
cut, -0.8327, 2.5600, -0.5337, 0.015630, 0.992521, -0.121070, 0.000290
cut, -0.8335, 2.5600, -0.5387, 0.011713, 0.992501, -0.121675, 0.000775
cut, -0.8343, 2.5600, -0.5436, 0.007797, 0.992465, -0.122277, 0.001259
cut, -0.8348, 2.5600, -0.5474, 0.004801, 0.992426, -0.122736, 0.001631
cut, -0.8354, 2.5600, -0.5524, 0.005004, 0.992441, -0.122613, 0.001605
cut, -0.8360, 2.5600, -0.5573, 0.005208, 0.992455, -0.122489, 0.001579
cut, -0.8366, 2.5600, -0.5623, 0.005412, 0.992469, -0.122369, 0.001553
cut, -0.8372, 2.5600, -0.5673, 0.005616, 0.992482, -0.122250, 0.001528
cut, -0.8378, 2.5600, -0.5722, 0.005821, 0.992496, -0.122131, 0.001502
cut, -0.8383, 2.5600, -0.5772, 0.006025, 0.992509, -0.122012, 0.001476
cut, -0.8389, 2.5600, -0.5822, 0.006229, 0.992523, -0.121893, 0.001450
cut, -0.8395, 2.5600, -0.5871, 0.006434, 0.992536, -0.121775, 0.001424
cut, -0.8401, 2.5600, -0.5921, 0.006638, 0.992549, -0.121656, 0.001398
cut, -0.8407, 2.5600, -0.5971, 0.006843, 0.992562, -0.121538, 0.001372
cut, -0.8408, 2.5600, -0.5986, 0.006908, 0.992566, -0.121500, 0.001364
cut, -0.8410, 2.5600, -0.6036, 0.006097, 0.992561, -0.121584, 0.001464
cut, -0.8412, 2.5600, -0.6086, 0.005286, 0.992556, -0.121667, 0.001564
cut, -0.8414, 2.5600, -0.6136, 0.004475, 0.992549, -0.121750, 0.001663
cut, -0.8416, 2.5600, -0.6186, 0.003664, 0.992542, -0.121834, 0.001763
cut, -0.8418, 2.5600, -0.6236, 0.002853, 0.992534, -0.121917, 0.001863
cut, -0.8420, 2.5600, -0.6286, 0.002042, 0.992526, -0.122000, 0.001963
cut, -0.8422, 2.5600, -0.6336, 0.001232, 0.992517, -0.122083, 0.002063
cut, -0.8424, 2.5600, -0.6386, 0.000421, 0.992507, -0.122167, 0.002162
cut, -0.8425, 2.5600, -0.6394, 0.000301, 0.992505, -0.122180, 0.002177
cut, -0.8425, 2.5600, -0.6444, 0.000832, 0.992507, -0.122166, 0.002112
cut, -0.8426, 2.5600, -0.6494, 0.001364, 0.992508, -0.122152, 0.002046
cut, -0.8426, 2.5600, -0.6544, 0.001896, 0.992509, -0.122137, 0.001981
cut, -0.8427, 2.5600, -0.6594, 0.002428, 0.992510, -0.122123, 0.001915
cut, -0.8428, 2.5600, -0.6644, 0.002960, 0.992511, -0.122108, 0.001850
cut, -0.8428, 2.5600, -0.6694, 0.003492, 0.992510, -0.122102, 0.001784
cut, -0.8428, 2.5600, -0.6744, 0.004024, 0.992507, -0.122111, 0.001719
cut, -0.8429, 2.5600, -0.6794, 0.004556, 0.992503, -0.122120, 0.001653
cut, -0.8429, 2.5600, -0.6844, 0.005088, 0.992500, -0.122129, 0.001588
cut, -0.8429, 2.5600, -0.6894, 0.005620, 0.992496, -0.122139, 0.001522
cut, -0.8429, 2.5600, -0.6944, 0.006152, 0.992492, -0.122148, 0.001457
cut, -0.8429, 2.5600, -0.6961, 0.006333, 0.992490, -0.122151, 0.001435
cut, -0.8425, 2.5600, -0.7010, 0.005947, 0.992483, -0.122229, 0.001483
cut, -0.8420, 2.5600, -0.7060, 0.005562, 0.992476, -0.122307, 0.001531
cut, -0.8416, 2.5600, -0.7110, 0.005177, 0.992468, -0.122386, 0.001578
cut, -0.8411, 2.5600, -0.7160, 0.004791, 0.992460, -0.122464, 0.001626
cut, -0.8407, 2.5600, -0.7209, 0.004406, 0.992452, -0.122543, 0.001674
cut, -0.8402, 2.5600, -0.7259, 0.004021, 0.992444, -0.122622, 0.001722
cut, -0.8398, 2.5600, -0.7309, 0.003635, 0.992435, -0.122701, 0.001770
cut, -0.8393, 2.5600, -0.7359, 0.003250, 0.992427, -0.122780, 0.001818
cut, -0.8389, 2.5600, -0.7409, 0.002865, 0.992418, -0.122859, 0.001866
cut, -0.8385, 2.5600, -0.7451, 0.002539, 0.992411, -0.122926, 0.001906
cut, -0.8380, 2.5600, -0.7500, -0.001399, 0.992459, -0.122545, 0.002395
cut, -0.8375, 2.5600, -0.7550, -0.005339, 0.992492, -0.122162, 0.002883
cut, -0.8370, 2.5600, -0.7600, -0.009280, 0.992508, -0.121777, 0.003372
cut, -0.8365, 2.5600, -0.7650, -0.013222, 0.992509, -0.121390, 0.003861
cut, -0.8360, 2.5600, -0.7699, -0.017162, 0.992494, -0.121002, 0.004349
cut, -0.8358, 2.5600, -0.7721, -0.018853, 0.992483, -0.120835, 0.004559
cut, -0.8350, 2.5600, -0.7770, -0.019033, 0.992491, -0.120738, 0.004582
cut, -0.8343, 2.5600, -0.7820, -0.019214, 0.992499, -0.120642, 0.004606
cut, -0.8335, 2.5600, -0.7869, -0.019394, 0.992508, -0.120546, 0.004630
cut, -0.8328, 2.5600, -0.7919, -0.019575, 0.992516, -0.120450, 0.004654
cut, -0.8321, 2.5600, -0.7968, -0.019755, 0.992523, -0.120354, 0.004678
cut, -0.8313, 2.5600, -0.8018, -0.019936, 0.992531, -0.120258, 0.004702
cut, -0.8306, 2.5600, -0.8067, -0.020117, 0.992539, -0.120162, 0.004726
cut, -0.8299, 2.5600, -0.8116, -0.020297, 0.992547, -0.120066, 0.004749
