bbox, -754.0833, 1456.7267, -1744.6004, 1510.2125, 587.9106, 1006.8083
cut, 0.7405, 2.3284, -0.6548, 0.239437, -0.564784, 0.727098, -0.308249
cut, 0.7357, 2.3272, -0.6548, 0.238553, -0.565158, 0.727579, -0.307111
cut, 0.7309, 2.3259, -0.6548, 0.237663, -0.565533, 0.728062, -0.305965
cut, 0.7260, 2.3247, -0.6548, 0.236766, -0.565909, 0.728546, -0.304811
cut, 0.7212, 2.3234, -0.6548, 0.235863, -0.566286, 0.729031, -0.303648
cut, 0.7163, 2.3222, -0.6548, 0.234954, -0.566664, 0.729518, -0.302477
cut, 0.7115, 2.3210, -0.6548, 0.234038, -0.567043, 0.730005, -0.301298
cut, 0.7066, 2.3197, -0.6548, 0.233115, -0.567423, 0.730495, -0.300110
cut, 0.7018, 2.3185, -0.6547, 0.232186, -0.567804, 0.730985, -0.298914
cut, 0.6969, 2.3173, -0.6547, 0.231250, -0.568186, 0.731476, -0.297709
cut, 0.6921, 2.3160, -0.6547, 0.230308, -0.568568, 0.731969, -0.296496
cut, 0.6873, 2.3148, -0.6547, 0.229359, -0.568952, 0.732463, -0.295274
cut, 0.6824, 2.3136, -0.6547, 0.228403, -0.569336, 0.732958, -0.294043
cut, 0.6776, 2.3123, -0.6547, 0.227440, -0.569722, 0.733454, -0.292804
cut, 0.6727, 2.3111, -0.6547, 0.226470, -0.570108, 0.733951, -0.291555
cut, 0.6679, 2.3098, -0.6547, 0.225493, -0.570495, 0.734449, -0.290298
cut, 0.6630, 2.3086, -0.6547, 0.224510, -0.570883, 0.734948, -0.289031
cut, 0.6582, 2.3074, -0.6547, 0.223519, -0.571271, 0.735449, -0.287756
cut, 0.6533, 2.3061, -0.6547, 0.222521, -0.571661, 0.735950, -0.286472
cut, 0.6485, 2.3049, -0.6547, 0.221516, -0.572051, 0.736452, -0.285178
cut, 0.6437, 2.3037, -0.6547, 0.220504, -0.572442, 0.736955, -0.283875
cut, 0.6388, 2.3024, -0.6547, 0.219485, -0.572833, 0.737460, -0.282563
cut, 0.6340, 2.3012, -0.6546, 0.218459, -0.573225, 0.737965, -0.281242
